charaID,charaFileID,favorability,randomCode
131,E0I,040,SZHV
131,E0I,100,NJSF
141,EV4,100,AIKL
147,ERM,100,UYFP
192,ERA,040,ZOJT
192,ERA,100,OVTJ
229,EI5,100,OWAS
235,E0P,100,VYLO
245,E2V,100,IPEA
247,E76,040,VQIU
247,E76,100,NGFB
249,E20,040,RWLC
249,E20,100,IBNC
253,EGK,100,GFWT
260,EX5,100,ZVJH
268,E96,100,CKME
269,E9Q,100,JPKT
270,EQ1,100,EQKZ
271,EK9,100,LMWC
291,E9H,100,ZPHG
292,ES1,100,OKZH
294,E9F,100,VZVF
295,E75,100,UKLR
301,ESD,100,PJSA
312,E9D,100,RABN
313,E15,100,FLGD
317,E04,040,UYPT
317,E04,100,ZJTM
319,E32,040,WPFA
319,E32,100,EFXH
320,E74,040,EQTN
320,E74,100,HFSU
325,EW7,100,ETCX
326,EBC,100,SXEM
328,EUH,040,RUWT
328,EUH,100,PHES
329,EWW,100,QTZA
333,ETL,040,FNAJ
333,ETL,100,FDLN
334,E9Z,040,KEBL
334,E9Z,100,TYVH
338,E73,100,JNBF
345,EYS,100,XMJB
354,E6H,100,ANSL
356,EKQ,100,AZQY
358,EX8,100,UHQJ
368,E63,100,JKZS
402,E7V,040,NBUG
402,E7V,100,PGLV
404,E5N,040,ZRTN
404,E5N,100,NKXA
407,E4D,100,VXMK
410,ERZ,040,JUAR
410,ERZ,100,UZGE
412,EOR,100,VUJF
413,E36,040,UNCB
413,E36,100,LXBA
414,E14,100,SNQM
417,ERL,100,SVFL
421,EB9,100,BXKL
424,EMS,100,SFEQ
425,E16,100,YXGT
428,EY6,100,PFHA
434,EM2,100,LYCR
437,E9R,100,HSZY
441,ED3,040,MBTE
441,ED3,100,VBTW
442,E76,040,URJX
442,E76,100,CKYH
446,E06,040,VGAS
446,E06,100,JXAZ
448,EY6,100,BKEG
451,E06,100,PXGV
453,E03,100,VQCU
455,E03,100,PHLS
460,EIE,100,WMKT
465,E54,100,WHJX
467,E6A,100,VZDR
470,ET2,100,VXLP
471,E62,040,ZNBQ
471,E62,100,KUVE
