charaID,charaFileID,favorability,randomCode
001,EF6,040,697K321
001,EF6,100,3220FTQ
002,EZS,040,GN961K3
002,EZS,100,F0B1S7J
003,E93,040,P93ZDGO
003,E93,100,R4PF9ML
004,E5V,040,3AT2H03
004,E5V,100,VWZ62N0
005,ES5,100,9F99C28
005,ES5,040,SH55Y84
006,EHB,040,LSMA5R6
006,EHB,100,18DABW9
007,E25,100,OTO1398
007,E25,040,Q0Q6CBS
008,ETU,100,T1BH864
008,ETU,040,Q2S38JP
009,EXO,040,PSX7I2Y
009,EXO,100,QIR6417
010,EWS,100,8ARTHB8
010,EWS,040,1S800TJ
011,EPS,040,XNTS
012,EC8,040,WMEO
013,EO5,040,BSFY
014,EYL,040,GNHZ
015,E2O,040,QEMJ
016,E67,040,NXQX
017,E90,040,CTIK
018,E29,040,BLXJ
019,EIR,040,IOUL
020,EFA,040,NQGL
021,E36,040,XUMJ
022,E31,040,CFXX
023,EGI,040,GKRJ
024,E37,040,YAQK
025,ER3,040,MZWY
026,E48,040,XTIG
027,EX3,040,SQUO
028,E9L,040,IEEF
029,E59,040,RMDH
030,E6F,040,HTRF
031,E34,040,YUVJ
032,E8L,040,QNOU
033,EK0,040,ITSL
034,EPL,040,FVFI
035,E7M,040,LKYA
036,E9H,040,IAFQ
037,E79,040,ATQS
038,EFS,040,QZWQ
039,E3B,040,VBLB
040,E66,040,QUBI
041,EF0,040,WYYC
042,E2N,040,AOAY
043,EEP,040,YMDP
044,E9E,040,XIXL
045,E5H,040,YIUZ
046,E80,040,FRAB
047,EFQ,040,HAHE
048,ET8,0,0
049,EL7,0,0
050,ELM,0,0
051,E0K,0,0
052,ECR,0,0
053,E5B,040,EWEL
054,ENG,040,ZAYA
055,E5O,040,UDCE
055,E5O,100,SGHN
056,ERK,100,RRWF
057,E92,,
058,EQ5,040,DQP23Q5
058,EQ5,100,U3PC587
059,EM3,,
060,EPP,040,7E8J5VI
060,EPP,100,3W7TB7Y
061,E31,,
062,EI4,,
063,E5G,040,JXAN
064,E98,100,1Z38TG7
064,E98,040,D7MTJ02
065,EIN,040,4YV7JC8
065,EIN,100,O8PPH17
066,ENK,100,27EDPDV
066,ENK,040,58QLY97
067,E9T,040,AVGM
068,EU9,040,OCZD
068,EU9,100,GXGB
069,E0L,040,LROT
069,E0L,100,MWZJ
070,E96,040,LICX
071,E26,100,GJDM
071,E26,040,VZCM
072,E21,040,KPWS
072,E21,100,HUNY
073,E22,040,YISF
074,ELI,040,FUKW
074,ELI,100,GFFR
075,EZ9,040,FWFE
075,EZ9,100,ZLXA
076,E6D,100,DHIA
076,E6D,040,MVVP
077,E39,040,650SUP1
077,E39,100,04JZR17
078,E7Z,,
079,E1B,100,GOBA
079,E1B,040,VZJJ
080,E3H,100,XLSH
081,EMC,,
082,E4J,100,XDYX
083,E64,100,RNHW
084,EM3,100,TURJ
085,EW2,100,CRWV
086,E42,,
087,E0M,100,OYPP
088,E5Y,,
089,E6Q,,
090,E7Q,100,HBRO
091,EA3,100,HMEB
092,EIE,,
093,EK2,100,QVLI
094,EDZ,100,CYKM
095,E7S,,
096,EEK,100,UHZL
097,E4E,,
098,E62,100,VANO
099,EHN,100,YTIX
100,E9Q,100,FWOD
101,E20,100,XBRE
102,EA7,100,KPVV
103,E4G,100,NRYY
104,EC1,100,NFIY
105,EPG,100,YIIC
106,EPQ,100,KADP
107,E2Q,100,FTZT
108,E0U,100,AGPA
109,E80,100,SWZZ
110,ECT,100,CVEK
111,E1H,100,FTIL
112,E29,,
113,EP6,,
114,E6D,100,LYXF
115,E8G,100,OHKX
116,E2U,,
117,E9J,100,HOUX
118,E5U,100,ZABV
119,E0B,100,YOVU
120,E87,100,KRSQ
121,EBT,040,PLRR
121,EBT,100,SHWU
122,E53,100,CIZI
123,EBX,100,NOUI
124,ETP,,
125,E2F,040,ORQI
125,E2F,100,VHJD
126,EKS,040,LNCV
126,EKS,100,TCLO
127,E46,100,UVAM
127,E46,040,MBGB
128,EG0,,
129,EN1,100,XYDL
129,EN1,040,ODBL
130,EAN,100,NBMN
130,EAN,040,USAR
131,E0I,040,SZHV
131,E0I,100,NJSF
132,EB2,040,XYVE
132,EB2,100,MWZU
133,E93,,
134,E61,100,PHYV
135,E9V,100,SKMN
136,ER8,100,FBSO
137,E85,100,AKNL
138,E0S,100,IQFN
139,E6F,100,VHYB
140,E1J,100,LQMD
141,EV4,100,AIKL
142,EX9,100,QOJC
143,E1I,100,GNQT
144,E0U,100,UMQB
145,EA1,100,QFVO
146,E30,100,UNUM
147,ERM,100,UYFP
148,E71,100,KAGY
149,E47,,
150,E80,100,ANTR
151,E6N,100,QSWT
152,E16,,
153,EI1,,
154,EIH,,
155,E67,,
156,E5E,100,IVZX
157,EQ9,100,IQKX
158,EQ7,100,DPUH
159,E63,100,OZMB
160,E44,,
161,ED0,100,DLBP
162,E0S,100,LRNX
163,EV8,100,UUFR
164,EBA,100,MMLS
165,E7J,100,NNWP
166,E28,100,FIGH
167,E83,100,PEHR
168,EKS,,
169,EAI,100,QVBE
170,EE0,100,AYAH
171,E26,100,CCZP
172,E58,100,NLTW
173,EA3,100,YWWP
174,EEX,100,QLAG
175,E01,,
176,E62,100,GBWX
177,E7Q,100,FXUB
178,ENJ,100,MLDI
179,ED1,100,SJFD
180,EKD,,
181,E38,100,FWHH
182,E14,100,TZEJ
183,EW4,,
184,EN5,100,MEXI
185,EZA,040,UOOD
185,EZA,100,UPVX
186,EB8,,
187,EM1,040,YGAP
187,EM1,100,LYPV
189,EME,040,MAIM
189,EME,100,HYBR
190,EZT,040,SFVQ
190,EZT,100,VGSW
191,E81,,
192,ERA,040,ZOJT
192,ERA,100,OVTJ
193,EE0,,
194,EGJ,100,RTNV
194,EGJ,040,XLJW
195,ERV,100,WWJN
196,E9U,,
197,EMG,,
198,EP4,100,QBIK
199,EL9,100,CJOQ
200,E29,,
201,EMH,040,IABH
201,EMH,100,NVJV
202,E43,,
203,E65,100,BHYU
203,E65,040,YCRF
204,E69,,
205,EMW,040,LPID
205,EMW,100,CCVA
206,E2I,,
207,E0J,100,UXAL
208,E6Z,,
209,EH5,,
210,ECC,040,EREL
210,ECC,100,WXAM
211,E9X,,
212,E54,100,BANL
212,E54,040,RFWM
213,ENC,100,CIJT
214,E75,,
215,EC7,100,NVZW
216,E4U,100,HNCB
217,EHH,100,XYDC
218,E7Z,100,HUVZ
219,E6T,100,SJJT
220,E6O,,
221,E40,100,CRAB
222,EC2,100,TTTL
222,EC2,040,MYWS
223,EBG,100,PDHY
224,EA7,,
226,EF6,,
227,E37,100,NKZA
228,EVP,,
229,EI5,100,OWAS
230,EP0,100,OANI
231,EBX,100,FRUE
232,E1Y,100,ASMK
233,E1M,100,ZOKD
234,E53,100,IPCV
235,E0P,100,VYLO
236,E76,100,RQPA
237,E2O,100,QRWK
238,E4S,040,KIHH
238,E4S,100,NPHG
239,EL7,,
240,E2I,100,SCMT
241,E5O,,
242,EZK,,
243,E00,100,YQQB
244,EN5,,
245,E2V,100,IPEA
246,EN2,040,JYKO
246,EN2,100,VBPQ
247,E76,100,NGFB
247,E76,040,VQIU
248,E71,040,OSKY
248,E71,100,BLTP
249,E20,040,RWLC
249,E20,100,IBNC
250,EGA,040,GDIB
250,EGA,100,FWKO
251,EP3,,
252,E1K,100,QHMV
253,EGK,100,GFWT
254,E0P,,
255,EF4,100,ENDR
256,E14,,
257,E91,,
258,EYZ,,
259,E7Y,,
260,EX5,100,ZVJH
261,EX7,100,JINI
262,E6A,,
263,EN2,,
264,EH1,040,TLEA
