identity,weaponID,hashCode
C,001,KP
C,002,HA
C,003,SR
C,004,HI
C,005,WN
C,006,IE
C,007,PT
C,008,XH
C,009,II
C,010,JT
C,011,YO
C,012,AY
C,013,VZ
C,014,KK
C,015,GY
C,016,OL
C,017,WH
C,018,OT
C,019,ME
C,020,II
C,021,GS
C,022,WP
C,023,MU
C,024,SK
C,025,DF
C,026,RZ
C,027,NJ
C,028,MZ
C,029,NI
C,030,FU
C,031,DN
C,032,XD
C,033,WG
C,034,VZ
C,035,QI
C,036,NH
C,037,GZ
C,038,NP
C,039,TR
C,040,YW
C,041,NB
C,042,II
C,043,ZF
C,044,BI
C,045,QV
C,046,TG
C,047,NO
C,048,HR
C,100,2V
C,100,0R
C,101,8V
C,101,2U
C,101,9D
C,101,7B
C,102,9Z
C,103,5S
C,103,3Z
C,103,7G
C,103,2Y
C,104,4F
C,104,1F
C,107,5G
C,107,4Z
C,107,3W
C,107,8T
C,108,3V
C,109,9V
C,109,8E
C,110,2Z
C,110,1H
C,111,8H
C,111,1I
C,112,3V
C,113,2M
C,114,0S
C,114,5K
C,115,2E
C,115,9X
C,116,6N
C,116,9C
C,117,8F
C,118,6Y
C,118,9Y
C,212,AM
C,213,WX
C,214,US
C,218,MG
C,219,TL
C,225,VP
C,226,AB
C,227,IE
C,229,IR
C,230,PR
C,231,DB
C,232,YC
C,233,BG
C,239,CA
C,240,AK
C,244,DH
C,246,QB
C,248,OD
C,249,YW
C,250,JV
C,252,EQ
C,253,WP
C,254,SY
C,265,IC
C,267,IE
C,268,YA
C,269,DM
C,270,FA
C,272,GA
C,273,HQ
C,274,EV
C,299,AF
C,300,JW
C,301,RO
C,302,PS
C,305,EI
C,312,QC
C,313,KB
C,314,CM
C,315,AG
C,316,DB
C,318,GW
C,319,HE
C,320,CM
C,321,XW
C,322,RK
C,323,DD
C,329,AY
C,330,FZ
C,334,IO
C,335,US
C,336,SB
C,338,HN
C,340,OS
C,341,RC
C,344,HX
C,345,YX
C,347,HV
C,348,UV
C,351,TO
C,352,JY
C,354,CB
C,356,PH
C,357,RF
C,358,BW
C,361,KY
C,362,AI
C,363,HV
C,364,KI
C,369,HX
C,371,ZN
C,372,NY
C,374,ES
C,375,PO
C,376,VQ
C,380,LB
C,385,OK
C,387,DE
C,388,LA
C,390,BY
C,391,AM
C,392,NH
C,393,LV
C,395,KU
C,396,IQ
C,398,YP
C,400,WO
C,401,UK
C,403,BG
C,405,HK
C,408,IZ
C,409,PO
C,414,YK
C,417,SJ
C,420,EO
C,422,BO
C,425,CG
C,426,NW
C,430,FP
C,434,KG
C,435,BO
C,436,CK
C,437,LG
C,438,JP
C,439,SL
C,440,HS
C,451,HB
C,452,XE
C,453,DI
C,454,YE
C,455,WJ
C,456,JJ
C,457,AQ
C,458,WN
C,460,MI
C,461,ZV
C,465,DL
C,467,CH
C,472,BO
C,476,GR
C,481,AX
C,482,EK
C,487,VL
C,488,QF
C,489,EZ
C,490,UF
C,503,SM
C,504,BP
C,505,OY
C,506,SA
C,507,HV
C,508,QG
C,509,XB
C,511,FZ
C,512,RW
C,513,XP
C,517,AA
C,518,JM
C,519,GD
C,523,YH
C,524,GD
C,525,WA
C,528,WX
C,529,IZ
C,531,UO
C,532,CF
C,538,YU
C,541,HY
C,542,KM
C,546,HJ
C,547,DJ
C,548,BU
C,551,LD
C,554,TS
C,555,BN
C,556,AY
C,558,DN
C,559,VN
C,560,JC
C,567,BU
C,568,HZ
C,569,TQ
C,572,JN
C,574,VE
C,575,KO
C,582,NX
C,583,WX
C,584,HU
C,586,DB
C,588,CA
C,593,BR
C,595,IG
C,596,YH
C,597,BM
C,598,XM
C,599,SX
C,601,ZD
C,606,YH
C,607,IR
C,611,XC
C,612,MH
C,613,UT
C,615,XC
C,617,FU
C,619,KX
C,620,UY
C,633,MC
C,634,WR
C,635,ER
C,636,CB
C,642,HC
C,643,UY
C,644,WH
C,645,YE
C,647,FM
C,650,EE
C,652,LD
C,653,RX
C,657,SW
C,659,DH
C,662,FN
C,665,ZJ
C,666,QO
C,668,RK
C,671,WH
C,673,MY
C,676,VE
C,677,HQ
C,678,QX
C,688,KT
C,692,GQ
C,694,RT
C,695,VQ
C,696,ZN
C,697,KN
C,699,HK
C,700,BH
C,701,GB
C,705,GG
C,706,QL
C,710,WH
C,716,BV
C,717,ZJ
C,719,SL
C,727,DV
C,729,TP
C,734,UP
C,736,NJ
C,738,IY
C,740,IM
C,745,ZW
C,746,EL
C,748,ZE
C,751,KS
C,753,RI
C,758,CV
C,759,RS
C,760,SC
C,761,UZ
C,762,DJ
C,793,YH
C,795,HZ
C,796,BO
C,798,RY
C,802,FZ
C,803,FS
C,804,UR
C,810,UX
C,816,DA
C,818,PS
C,823,PR
C,825,WT
C,826,ZA
C,828,CP
C,834,BL
C,837,QN
C,846,FE
C,847,PC
C,853,FH
C,858,OV
C,864,FN
C,866,QD
C,871,DN
C,872,SH
C,874,IS
C,876,QG
C,883,HN
C,886,BM
C,888,XX
C,890,VN
C,893,NK
C,894,QY
C,895,MJ
C,898,DB
C,899,TC
C,901,CW
C,909,TK
C,914,CD
C,925,NG
C,926,NH
C,927,WX
C,930,NN
C,931,JY
C,932,NY
C,939,PC
C,944,TN
C,945,TE
C,959,RV
C,962,QZ
C,963,JP
C,965,XL
C,968,NX
C,976,IQ
C,977,BC
C,988,HQ
C,992,EO
